parse_text,parse_name
"['gibrantweet', 'Serius', 'mas', 'jangan', 'ketawa', 'demi', 'nama', 'baik', 'bapakmu', 'termasuk', 'dirimu', 'jangan', 'kepincut', 'rayuan', 'partai', 'lain', 'yg', 'membawa', 'dampak', 'negatif', 'di', 'masa', 'purna', 'tugas', 'bapakmu', 'nanti', 'berharap', 'tegak', 'lurus', 'pada', 'partai', 'PDIPerjuangan', 'yg', 'membesarkan', 'dirimu']",['MardiSiswoyo']
"['Relawan', 'Bolone', 'Mase', 'Tetap', 'Dukung', 'Prabowo', 'Jika', 'Gibran', 'Batal', 'Cawapres', 'httpstcoJBbHglAV', 'BersamaPrabowo', 'MenataMasaDepan', 'Prabowo', 'Subianto']",['lehonmangolu']
"['AleGiggle', 'JehanBio', 'Dennysiregar', 'Sereemh', 'endingnya', 'buat', 'Dinasti', 'pak', 'jokowi', 'kalo', 'gibrantweet', 'jadi', 'cawapres', 'Menurut', 'sy', 'akan', 'KALAH', 'Krn', 'cerita', 'dibelakang', 'pencalonannya', 'yang', 'semua', 'rakyat', 'tau', 'melanggar', 'etika', 'dan', 'kepantasan']",['mamingunyah']
"['gibrantweet', 'wait', 'and', 'see']",['Inboed']
"['Akar', 'Rumput', 'Golkar', 'DIY', 'Siap', 'Dukung', 'Gibran', 'Jadi', 'Bakal', 'Cawapres', 'Prabowo', 'Ini', 'Syaratnya', 'httpstcoItKrEGDGUE', 'beritajogja', 'jogja', 'jogjaistimewa', 'httpstcoANXgQWK']",['HarianJogja']
"['gibrantweet', 'Kode', 'capres', 'cawapres', 'G', 'httpstcoosMaQLcw']",['AaOjk']
"['gibrantweet', 'Amin', 'tu', 'da', 'DIMENSIA', 'pantat', 'SILETnya', 'sendiri', 'sahja', 'SERING', 'lupa', 'HINGA', 'dia', 'sering', 'menjadikan', 'COCOT', 'sebahgai', 'lubangSILETnya', 'hgg', 'MENGAKU', 'sbg', 'Ktai', 'padahal', 'acting', 'nya', 'TAK', 'beza', 'dg', 'para', 'YAHUDI', 'adu', 'SANA', 'adu', 'SINI', 'Serta', 'INGAT', 'ni', 'Amin', 'Raib', 'tu', 'TAK', 'lagi', 'kan', 'MUATHI', 'kerna', 'STRESS', 'dewek']",['Jie']
"['gibrantweet', 'Manut', 'mbak', 'silvi', 'wae', 'masepenak']",['Narto']
"['AnggaDny', 'jokowi', 'gibrantweet', 'aamiin']",['Dedy']
"['gibrantweet', 'Pelan', 'pelan', 'mas', 'wali']",['royalegembox']
"['KolongLangitGan', 'gibrantweet', 'ganjarpranowo', 'Budaya', 'Jawa', 'tapi', 'tokohnya', 'dari', 'India']",['ArtyaMida']
"['gibrantweet', 'httpstcodXEamwSg']",['XuYek']
"['WagimanDeep', 'G', 'bantah', 'pindah', 'kekuning', 'sedangkan', 'Airlannga', 'Ketum', 'golkar', 'bilang', 'sdh', 'bicara', 'dgn', 'Gibran', 'Calonnya', 'anak', 'muda', 'berumur', 'dibawah', 'berprestasi', 'dan', 'anak', 'pejabat', 'Hahaha', 'siapa', 'yg', 'benar']",['Nutmegjazz']
"['gibrantweet', 'Kamyu', 'trending', 'terus']",['SawitriAri']
"['gibrantweet', 'Makanya', 'masih', 'bocah', 'ga', 'usah', 'sok', 'ambisius', 'pengen', 'jadi', 'wapres', 'lu', 'Lu', 'berkibar', 'karena', 'dapat', 'ha', 'istimewa', 'sbg', 'anak', 'jokowow']",['estteee']
"['gibrantweet', 'All', 'in', 'prabowo', 'gibran', 'masehh']",['gagalsekali']
"['Hidup', 'sederhana', 'bahagia', 'sampai', 'tua', 'Gibran', 'Gama', 'Cawapres', 'httpstcofvSlUFUFl']",['diposan']
